hypothesis_index,hypothesis_id,family_id,cluster_id,expected_nested_pairs,valid_nested_pairs,cluster_effect_available,cluster_effect,cluster_worst_case_bound,cluster_best_case_bound
5,E1_STATIC__F22_MG_STATIC__VS__JMETALPY_1_7_NSGAII_STATIC_CMOEA__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP14,10,10,true,8.7329069028845415e-05,8.7329069028845415e-05,8.7329069028845415e-05
5,E1_STATIC__F22_MG_STATIC__VS__JMETALPY_1_7_NSGAII_STATIC_CMOEA__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP2,10,10,true,0.037639030856046717,0.037639030856046717,0.037639030856046717
5,E1_STATIC__F22_MG_STATIC__VS__JMETALPY_1_7_NSGAII_STATIC_CMOEA__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP3,10,10,true,0.021985669233428189,0.021985669233428189,0.021985669233428189
5,E1_STATIC__F22_MG_STATIC__VS__JMETALPY_1_7_NSGAII_STATIC_CMOEA__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP4,10,10,true,0.025922894990467439,0.025922894990467439,0.025922894990467439
5,E1_STATIC__F22_MG_STATIC__VS__JMETALPY_1_7_NSGAII_STATIC_CMOEA__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP5,10,10,true,0,0,0
5,E1_STATIC__F22_MG_STATIC__VS__JMETALPY_1_7_NSGAII_STATIC_CMOEA__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP6,10,10,true,0.0016649555881676041,0.0016649555881676041,0.0016649555881676041
5,E1_STATIC__F22_MG_STATIC__VS__JMETALPY_1_7_NSGAII_STATIC_CMOEA__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP7,10,10,true,-0.019065738371445533,-0.019065738371445533,-0.019065738371445533
5,E1_STATIC__F22_MG_STATIC__VS__JMETALPY_1_7_NSGAII_STATIC_CMOEA__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP8,10,10,true,-0.035660173478330066,-0.035660173478330066,-0.035660173478330066
5,E1_STATIC__F22_MG_STATIC__VS__JMETALPY_1_7_NSGAII_STATIC_CMOEA__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,LIRCMOP9,10,10,true,0.018613423551161374,0.018613423551161374,0.018613423551161374
6,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_FIXED_DE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF1,10,10,true,0.22321195692297954,0.22321195692297954,0.22321195692297954
6,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_FIXED_DE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF10,10,10,true,0.30103920047571664,0.30103920047571664,0.30103920047571664
6,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_FIXED_DE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF11,10,10,true,0.20553403275199744,0.20553403275199744,0.20553403275199744
6,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_FIXED_DE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF12,10,10,true,0.24609106641506229,0.24609106641506229,0.24609106641506229
6,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_FIXED_DE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF13,10,10,true,0.29614073302558874,0.29614073302558874,0.29614073302558874
6,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_FIXED_DE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF14,10,10,true,0.042531248660519862,0.042531248660519862,0.042531248660519862
6,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_FIXED_DE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF15,10,10,true,0.23555495162208284,0.23555495162208284,0.23555495162208284
6,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_FIXED_DE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF2,10,10,true,0.37114940999981783,0.37114940999981783,0.37114940999981783
6,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_FIXED_DE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF3,10,10,true,0.16615642272908826,0.16615642272908826,0.16615642272908826
6,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_FIXED_DE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF4,10,10,true,0.22201139122921057,0.22201139122921057,0.22201139122921057
6,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_FIXED_DE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF5,10,10,true,0.038411917679785509,0.038411917679785509,0.038411917679785509
6,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_FIXED_DE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF6,10,10,true,0.33750985958983426,0.33750985958983426,0.33750985958983426
6,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_FIXED_DE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF7,10,10,true,0.11901881249455004,0.11901881249455004,0.11901881249455004
6,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_FIXED_DE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF8,10,10,true,0.21144653865029273,0.21144653865029273,0.21144653865029273
6,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_FIXED_DE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF9,10,0,false,,-1,1
7,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF1,10,10,true,0.18544951743350704,0.18544951743350704,0.18544951743350704
7,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF10,10,10,true,0.29493626809088747,0.29493626809088747,0.29493626809088747
7,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF11,10,10,true,0.20173927355095161,0.20173927355095161,0.20173927355095161
7,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF12,10,10,true,0.21526454059176997,0.21526454059176997,0.21526454059176997
