task_id,schedule_index,workload_id,unit_id,method_id,replicate_index,task_status,outcome_class,terminal_failure_event_count,terminal_code_counts_json,evaluation_failure_count,scheduled_cfe,charged_cfe,unconsumed_cfe,scheduled_atomic_model_steps,charged_atomic_model_steps,charged_work_exact,event_summary_trailing_fragment_present,event_summary_trailing_fragment_bytes,event_summary_trailing_fragment_sha256,wall_seconds,cpu_seconds,peak_rss_bytes,output_bytes,automatic_retries
r8c-0047-c565901e413d8e6c,47,E1_STATIC,LIRCMOP1,JMETALPY_1_7_NSGAII_STATIC_CMOEA,7,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,15.354435630000808,13.224866739,109473792,42979,0
r8c-0048-08fc622f5903da35,48,E1_STATIC,LIRCMOP1,F22_MG_STATIC,8,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,12.238679334001063,10.260152610999999,98463744,42180,0
r8c-0049-6de25f5646bd1737,49,E1_STATIC,LIRCMOP1,MATCHED_FIXED_DE_PARETO,8,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,7.085885778000375,5.410165008,84078592,42565,0
r8c-0050-43636230d18f372e,50,E1_STATIC,LIRCMOP1,MATCHED_JDE_STYLE_PARETO,8,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,8.149649561000842,5.495469559,86376448,42566,0
r8c-0051-77be4beead5b1571,51,E1_STATIC,LIRCMOP1,MATCHED_SHADE_STYLE_PARETO,8,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,8.149691321999853,5.956811956999999,85860352,42578,0
r8c-0052-3dfd34c7f2f6de79,52,E1_STATIC,LIRCMOP1,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,8,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,14.292841132999456,12.375893044,108728320,42897,0
r8c-0053-ef79ababd4fb60cf,53,E1_STATIC,LIRCMOP1,JMETALPY_1_7_NSGAII_STATIC_CMOEA,8,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,15.349999635000131,13.225335380999999,108220416,42986,0
r8c-0054-7244623785db0ec2,54,E1_STATIC,LIRCMOP1,F22_MG_STATIC,9,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,12.23418793699966,10.229249806,98451456,42173,0
r8c-0055-b1088d7183b6d9d4,55,E1_STATIC,LIRCMOP1,MATCHED_FIXED_DE_PARETO,9,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,7.081429491001472,5.260306378,84086784,42565,0
r8c-0056-56b28cd4fda51dca,56,E1_STATIC,LIRCMOP1,MATCHED_JDE_STYLE_PARETO,9,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,8.146041978001449,5.525394609,87736320,42565,0
