task_id,schedule_index,workload_id,unit_id,method_id,replicate_index,task_status,endpoint_status,anytime_nhv_auc,final_nhv,transfer_early_auc,timeout_carried_forward_event_count
r8c-0118-7bdc53790230a741,118,E1_STATIC,LIRCMOP2,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,9,COMPLETE,INCLUDED,0.39875243674288025,0.49211648960900123,,0
r8c-0119-df0fa577f11e7077,119,E1_STATIC,LIRCMOP2,JMETALPY_1_7_NSGAII_STATIC_CMOEA,9,COMPLETE,INCLUDED,0.4185694471645482,0.43063029048742935,,0
r8c-0120-a3f95a16d24b2320,120,E1_STATIC,LIRCMOP3,F22_MG_STATIC,0,COMPLETE,INCLUDED,0.21134128548172074,0.21988504821050187,,0
r8c-0121-209455c475b2af80,121,E1_STATIC,LIRCMOP3,MATCHED_FIXED_DE_PARETO,0,COMPLETE,INCLUDED,0.12609816530899629,0.21187744399088876,,0
r8c-0122-058a459096bb0b96,122,E1_STATIC,LIRCMOP3,MATCHED_JDE_STYLE_PARETO,0,COMPLETE,INCLUDED,0.2138768437929955,0.22292727726249364,,0
r8c-0123-5faec7f76175cabe,123,E1_STATIC,LIRCMOP3,MATCHED_SHADE_STYLE_PARETO,0,COMPLETE,INCLUDED,0.20128903201180098,0.22292742174489127,,0
r8c-0124-1433f7b6617c4157,124,E1_STATIC,LIRCMOP3,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,0,COMPLETE,INCLUDED,0.1797501249961651,0.2019074112166656,,0
r8c-0125-60b297931329611b,125,E1_STATIC,LIRCMOP3,JMETALPY_1_7_NSGAII_STATIC_CMOEA,0,COMPLETE,INCLUDED,0.18924505768599717,0.1995494581217895,,0
r8c-0126-e0f4d0913c7a984a,126,E1_STATIC,LIRCMOP3,F22_MG_STATIC,1,COMPLETE,INCLUDED,0.21544928184560233,0.22254668404464029,,0
r8c-0127-409415a15de238a2,127,E1_STATIC,LIRCMOP3,MATCHED_FIXED_DE_PARETO,1,COMPLETE,INCLUDED,0.1841974293238142,0.21913998906831217,,0
r8c-0128-25c1002d89c9aa01,128,E1_STATIC,LIRCMOP3,MATCHED_JDE_STYLE_PARETO,1,COMPLETE,INCLUDED,0.19573985880789985,0.21227538849375469,,0
r8c-0129-ed3f1f017e333b6d,129,E1_STATIC,LIRCMOP3,MATCHED_SHADE_STYLE_PARETO,1,COMPLETE,INCLUDED,0.24319073607137565,0.26752319569417815,,0
r8c-0130-903b5a1d521099f2,130,E1_STATIC,LIRCMOP3,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,1,COMPLETE,INCLUDED,0.22986206989406624,0.2624549249323575,,0
r8c-0131-02774901ffc8b05c,131,E1_STATIC,LIRCMOP3,JMETALPY_1_7_NSGAII_STATIC_CMOEA,1,COMPLETE,INCLUDED,0.18555762178204058,0.1920065258893287,,0
r8c-0132-fe1ec32c1bb746cf,132,E1_STATIC,LIRCMOP3,F22_MG_STATIC,2,COMPLETE,INCLUDED,0.21641989437256298,0.22421093307100043,,0
r8c-0133-c3f18812d15afc29,133,E1_STATIC,LIRCMOP3,MATCHED_FIXED_DE_PARETO,2,COMPLETE,INCLUDED,0.16938258698764785,0.2144001878051215,,0
r8c-0134-1252c2f031939495,134,E1_STATIC,LIRCMOP3,MATCHED_JDE_STYLE_PARETO,2,COMPLETE,INCLUDED,0.1866531236546704,0.19212672485367902,,0
r8c-0135-2497fbceb20c8113,135,E1_STATIC,LIRCMOP3,MATCHED_SHADE_STYLE_PARETO,2,COMPLETE,INCLUDED,0.1893890135970476,0.21936763220114072,,0
r8c-0136-8b8f91301ac4b741,136,E1_STATIC,LIRCMOP3,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,2,COMPLETE,INCLUDED,0.1513689054998309,0.21335256834678148,,0
r8c-0137-316163a603762dce,137,E1_STATIC,LIRCMOP3,JMETALPY_1_7_NSGAII_STATIC_CMOEA,2,COMPLETE,INCLUDED,0.16519719756489865,0.16979381835198984,,0
r8c-0138-42165d1020834b0c,138,E1_STATIC,LIRCMOP3,F22_MG_STATIC,3,COMPLETE,INCLUDED,0.2514523847231581,0.269729024317933,,0
r8c-0139-78ba33763c8e7496,139,E1_STATIC,LIRCMOP3,MATCHED_FIXED_DE_PARETO,3,COMPLETE,INCLUDED,0.1933095766212257,0.22953812426560638,,0
r8c-0140-bb75be985b14dcb9,140,E1_STATIC,LIRCMOP3,MATCHED_JDE_STYLE_PARETO,3,COMPLETE,INCLUDED,0.18969266603599244,0.1960124120211161,,0
r8c-0141-2c9b8705735684c0,141,E1_STATIC,LIRCMOP3,MATCHED_SHADE_STYLE_PARETO,3,COMPLETE,INCLUDED,0.2045402487702175,0.22357431320373763,,0
