workload_id,unit_id,replicate_index,full_task_id,full_method_id,comparator_task_id,comparator_method_id,pair_status,negative_transfer_rate,negative_transfer_event_count,paired_post_initial_event_count,strict_difference_threshold
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-MILD,1,r8c-0876-69b99a7723908088,DT-RAMDE_TS2_FULL,r8c-2744-3db5cb412c61bf1b,NO_MEMORY_RESET_GATE,INCLUDED,0.13559322033898305,8,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-MILD,1,r8c-0876-69b99a7723908088,DT-RAMDE_TS2_FULL,r8c-2745-f4f9afd2dfab04a0,NO_LINEAGE_CREDIT,INCLUDED,0.22033898305084745,13,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-MILD,1,r8c-0876-69b99a7723908088,DT-RAMDE_TS2_FULL,r8c-2746-da4f2b118e21b4b3,CROSS_EVENT_WARM_START_ONLY,INCLUDED,0.11864406779661017,7,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-MILD,1,r8c-0876-69b99a7723908088,DT-RAMDE_TS2_FULL,r8c-2747-9e1f7a0c51c1c709,CROSS_EVENT_MEMORY_ONLY,INCLUDED,0.0,0,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-MILD,1,r8c-0876-69b99a7723908088,DT-RAMDE_TS2_FULL,r8c-2748-387fa34209848726,SHADE_ONLY,INCLUDED,0.0,0,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-MILD,2,r8c-0882-94858f5c08bae12d,DT-RAMDE_TS2_FULL,r8c-2749-5a3f0d16a1877f65,NO_CROSS_EVENT_MEMORY,INCLUDED,0.0,0,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-MILD,2,r8c-0882-94858f5c08bae12d,DT-RAMDE_TS2_FULL,r8c-2750-8e106e94d0642287,NO_REJECTION_CREDIT,INCLUDED,0.1864406779661017,11,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-MILD,2,r8c-0882-94858f5c08bae12d,DT-RAMDE_TS2_FULL,r8c-2751-b93918226ff1414c,NO_MEMORY_RESET_GATE,INCLUDED,0.1694915254237288,10,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-MILD,2,r8c-0882-94858f5c08bae12d,DT-RAMDE_TS2_FULL,r8c-2752-0a7a4183c67e961d,NO_LINEAGE_CREDIT,INCLUDED,0.1694915254237288,10,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-MILD,2,r8c-0882-94858f5c08bae12d,DT-RAMDE_TS2_FULL,r8c-2753-0d3c273d2d3e9505,CROSS_EVENT_WARM_START_ONLY,INCLUDED,0.06779661016949153,4,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-MILD,2,r8c-0882-94858f5c08bae12d,DT-RAMDE_TS2_FULL,r8c-2754-c70a2417ffe62a95,CROSS_EVENT_MEMORY_ONLY,INCLUDED,0.0,0,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-MILD,2,r8c-0882-94858f5c08bae12d,DT-RAMDE_TS2_FULL,r8c-2755-2e44708487ae816c,SHADE_ONLY,INCLUDED,0.0,0,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-MILD,3,r8c-0888-756a00070d0409e0,DT-RAMDE_TS2_FULL,r8c-2756-8efd819697d2bb1f,NO_CROSS_EVENT_MEMORY,INCLUDED,0.0,0,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-MILD,3,r8c-0888-756a00070d0409e0,DT-RAMDE_TS2_FULL,r8c-2757-17338d08188bc5ee,NO_REJECTION_CREDIT,INCLUDED,0.11864406779661017,7,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-MILD,3,r8c-0888-756a00070d0409e0,DT-RAMDE_TS2_FULL,r8c-2758-970a49c2d92a5bbf,NO_MEMORY_RESET_GATE,INCLUDED,0.06779661016949153,4,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-MILD,3,r8c-0888-756a00070d0409e0,DT-RAMDE_TS2_FULL,r8c-2759-e4958944b5ba0f1b,NO_LINEAGE_CREDIT,INCLUDED,0.11864406779661017,7,59,-0.01
E2_DYNAMIC_INCREMENTAL_AFTER_FULL_REUSE,CDF1/CDF-MILD,3,r8c-0888-756a00070d0409e0,DT-RAMDE_TS2_FULL,r8c-2760-4f869ef53479f74a,CROSS_EVENT_WARM_START_ONLY,INCLUDED,0.06779661016949153,4,59,-0.01
